ID,Standardise_SMILES,Standardized_Value,Standardized_Endpoint,Assay,method,label
MC-3823,C#CCCCNC(=O)OC1C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)N(C)CC(C)CC(C)(O)C(OC2OC(C)CC(N(C)C)C2O)C1C,-8.0,Log Papp,PAMPA,1,0
MC-3825,C#CCCCNC(=O)OC1C(C)N(C)CC(C)CC(C)(O)C(OC2OC(C)CC(N(C)C)C2O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(=O)OC(CC)C1(C)O,-8.0,Log Papp,PAMPA,1,0
MC-3886,C#CCCCO/N=C1/C=C/C(C)=C/[C@H](CO[C@@H]2O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]2OC)[C@@H](CC)OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2CC(C)CC(C)C2)C[C@H]1C,-6.495,Log Papp,PAMPA,1,0
MC-3885,C#CCCO/N=C1/C=C/C(C)=C/[C@H](CO[C@@H]2O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]2OC)[C@@H](CC)OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@H]1C,-6.328,Log Papp,PAMPA,1,0
MC-3893,C#CCN(CC[C@H]1C[C@@H](C)C(=O)/C=C/C(C)=C/[C@H](CO)[C@@H](CC)OC(=O)C[C@@H](O)[C@H](C)[C@H]1O[C@@H]1O[C@H](C)[C@@H](O)C(N(C)C)C1O)Cc1ccccc1,-6.102,Log Papp,PAMPA,1,0
MC-3840,C#CCNC(=O)C[C@@H](NC(=O)C(NC(=O)[C@@H](/N=C1\NCC(=O)N2CC[C@@H](C)C2C(=O)N[C@@H](C(C)C)C(=O)N[C@H]1C(C)(C)C)C(C)(C)C)[C@@H](C)c1ccccc1)c1nccs1,-5.866,Log Papp,PAMPA,1,1
MC-3824,C#CCNC(=O)OC1C(C)OC(OC2C(C)C(=O)OC(CC)C(C)(O)C(O)C(C)N(C)CC(C)CC(C)(O)C(OC3OC(C)CC(N(C)C)C3O)C2C)CC1(C)OC,-8.0,Log Papp,PAMPA,1,0
MC-4447,C1=C/COCc2cc(ccc2OCCN2CCCC2)Nc2nccc(n2)-c2ccc(o2)COC/1,-4.606,Log Papp AB,Caco-2,0,1
MC-4916,C1=CC2=CCC=C1Nc1ccnc(n1)Nc1cnn(c1)CCCNCCO2,-5.721246399,Log Papp AB,Caco-2,0,1
MC-3993,C1=CCOCc2cc(ccc2OCCN2CCCCC2)Nc2nccc(n2)-c2cccc(c2)COC1,-5.406,Log Papp,PAMPA,1,1
MC-3988,C1=N/C2=N/c3ccc(OCCN4CCCC4)c(c3)COC/C=C/COCc3cccc(c3)C(=C1)N2,-5.032,Log Papp,PAMPA,1,1
MC-4751,C=C1NC(=O)[C@H](C)N(O)C(=O)[C@H](CC(N)=O)N(C)C(=O)[C@H](C)OC(=O)[C@@H]2C[C@H](C)CN2C1=O,-5.207608311,Log Papp,PAMPA,1,1
MC-4752,C=C1NC(=O)[C@H](C)N(O)C(=O)[C@H]([C@@H](O)C(=O)OC)N(C)C(=O)[C@H](C)OC(=O)[C@@H]2C[C@H](C)CN2C1=O,-5.013228266,Log Papp,PAMPA,1,1
MC-4753,C=C1NC(=O)[C@H](C)N(O)C(=O)[C@H]([C@@H](O)C(N)=O)N(C)C(=O)[C@H](C)OC(=O)[C@@H]2CCCN2C1=O,-4.48148606,Log Papp,PAMPA,1,1
